Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
RES1,R11N,BCAR - Jan 2011,"all floors, slab - no basement, Coastal A or V Zone",1 Story,RAMPP Inserted,0,0,0,0,12,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,658,,,1,1,101
RES1,R11B,FIA (MOD.),"one floor, w/ basement, Structure, V-Zone",1 Story,,7,7,10,14,17,21,29,34,38,43,47,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,114,1,,1,1,102
RES1,R12N,FIA,"two floors, no basement, Structure, A-Zone",2 Story,,0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,107,,1,,1,103
RES1,R12B,FIA (MOD.),"two floors, w/ basement, Structure, A-Zone",2 Story,,4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,108,1,1,,1,104
RES1,R13N,FIA,"three or more floors, no basement, Structure, A-Zone",3 Story,,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,109,,1,,1,105
RES1,R13B,FIA (MOD.),"three or more floors, w/ basement, Structure, A-Zone",3 Story,,3,3,6,10,12,14,20,25,31,36,38,41,44,48,50,52,54,56,57,59,61,63,65,67,69,71,73,75,77,110,1,1,,1,106
RES1,R1SN,BCAR - Jan 2011,"all floors, slab - no basement, Coastal A or V Zone",Split Level,RAMPP Inserted,0,0,0,0,12,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,658,,,1,1,107
RES1,R1SB,FIA (MOD.),"split level, w/ basement, Structure, A-Zone",Split Level,,6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,112,1,1,,1,108
RES2,R21N,BCAR - Jan 2011,"Manufactured Home (Mobile), Structure, Coastal A or V Zone",1 Story,RAMPP Inserted,0,0,15,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,667,,,1,1,109
RES2,R21B,FIA,"Mobile home, structure, A-Zone",1 Story,,0,0,0,0,11,44,63,73,78,79,81,82,83,84,85,86,88,89,90,91,92,94,95,96,97,98,99,100,100,189,1,1,,1,110
RES3A,R3A1N,BCAR - Jan 2011,"1to2 Stories, slab - no basement, Coastal A or V Zone",1to2 Stories,RAMPP Inserted,0,0,0,0,12,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,659,,,1,1,211
RES3A,R3A1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,212
RES3A,R3A3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,213
RES3A,R3A3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,214
RES3A,R3A5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,215
RES3A,R3A5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,216
RES3B,R3B1N,BCAR - Jan 2011,"1to2 Stories, slab - no basement, Coastal A or V Zone",1to2 Stories,RAMPP Inserted,0,0,0,0,12,25,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,660,,,1,1,217
RES3B,R3B1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,218
RES3B,R3B3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,219
RES3B,R3B3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,220
RES3B,R3B5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,221
RES3B,R3B5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,222
RES3C,R3C1N,USACE - Chicago,"Apartment Unit Grade, Structure",1to2 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,223
RES3C,R3C1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,224
RES3C,R3C3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,225
RES3C,R3C3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,226
RES3C,R3C5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,227
RES3C,R3C5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,228
RES3D,R3D1N,USACE - Chicago,"Apartment Unit Grade, Structure",1to2 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,229
RES3D,R3D1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,230
RES3D,R3D3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,231
RES3D,R3D3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,232
RES3D,R3D5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,233
RES3D,R3D5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,234
RES3E,R3E1N,USACE - Chicago,"Apartment Unit Grade, Structure",1to2 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,235
RES3E,R3E1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,236
