Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
RES1,R11N,USACE - IWR,"one story, no basement, Structure",1 Story,,0,0,0,3,13,23,32,40,47,53,59,63,67,71,73,75,77,79,80,81,81,82,82,83,83,83,84,84,84,129,,1,,,101
RES1,R11B,BCAR - Jan 2011,"one story, w/ basement, Structure  (B14)",1 Story,RAMPP Inserted,0,0,14,19,26,32,39,46,52,59,65,70,74,78,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,704,1,1,,,102
RES1,R12N,FIA,"two floors, no basement, Structure, A-Zone",2 Story,,0,0,0,0,11,12,14,18,20,22,24,26,30,34,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,107,,1,,1,103
RES1,R12B,FIA (MOD.),"two floors, w/ basement, Structure, A-Zone",2 Story,,4,4,8,14,19,21,26,29,34,39,44,50,55,57,59,61,63,65,66,68,69,71,72,74,75,77,79,80,82,108,1,1,,1,104
RES1,R13N,FIA,"three or more floors, no basement, Structure, A-Zone",3 Story,,0,0,0,0,5,8,12,17,19,22,24,25,30,35,38,39,40,42,43,44,45,47,48,49,50,52,53,54,56,109,,1,,1,105
RES1,R13B,FIA (MOD.),"three or more floors, w/ basement, Structure, A-Zone",3 Story,,3,3,6,10,12,14,20,25,31,36,38,41,44,48,50,52,54,56,57,59,61,63,65,67,69,71,73,75,77,110,1,1,,1,106
RES1,R1SN,FIA,"split level, no basement, Structure, A-Zone",Split Level,,0,0,0,0,3,9,13,25,27,28,33,34,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,111,,1,,,107
RES1,R1SB,FIA (MOD.),"split level, w/ basement, Structure, A-Zone",Split Level,,6,6,9,14,15,24,27,30,35,40,43,44,52,56,58,60,62,64,66,68,70,72,74,76,78,81,83,85,87,112,1,1,,1,108
RES2,R21N,FIA,"Mobile home, structure, A-Zone",1 Story,,0,0,0,0,11,44,63,73,78,79,81,82,83,84,85,86,88,89,90,91,92,94,95,96,97,98,99,100,100,189,,1,,,109
RES2,R21B,FIA,"Mobile home, structure, A-Zone",1 Story,,0,0,0,0,11,44,63,73,78,79,81,82,83,84,85,86,88,89,90,91,92,94,95,96,97,98,99,100,100,189,1,1,,1,110
RES3A,R3A1N,USACE - Chicago,"Apartment Unit Grade, Structure",1to2 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,,,211
RES3A,R3A1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,212
RES3A,R3A3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,213
RES3A,R3A3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,214
RES3A,R3A5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,215
RES3A,R3A5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,216
RES3B,R3B1N,USACE - Chicago,"Apartment Unit Grade, Structure",1to2 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,,,217
RES3B,R3B1B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",1to2 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,218
RES3B,R3B3N,USACE - Chicago,"Apartment Unit Grade, Structure",3to4 Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,219
RES3B,R3B3B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",3to4 Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,220
RES3B,R3B5N,USACE - Chicago,"Apartment Unit Grade, Structure",5Plus Stories,,0,0,0,0,15,16,25,28,29,31,40,43,43,45,46,47,47,49,50,51,52,53,54,55,56,57,58,59,60,204,,1,1,1,221
RES3B,R3B5B,USACE - Chicago,"Apartment Unit Sub-Grade, Structure",5Plus Stories,,0,0,4,8,12,15,20,23,28,33,37,43,48,51,53,55,57,59,60,61,62,63,64,65,66,67,68,69,70,205,1,1,1,1,222
