Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
RES1,R11N,USACE - IWR,"one story, no basement, Contents",1 Story,,0,0,0,4,16,26,36,44,52,58,64,68,72,74,76,78,80,80,80,80,80,80,80,80,80,80,80,80,80,45,,1,,,101
RES1,R11B,BCAR - Jan 2011,"one story, w/ basement, Contents (B14)",1 Story,RAMPP Inserted,0,0,11,13,16,19,22,25,27,30,32,35,36,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,535,1,1,,,102
RES1,R12N,FIA,"two floors, no basement, Contents, A-Zone",2 Story,,0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,23,,1,,,103
RES1,R12B,FIA (MOD.),"two floors, w/ basement, Contents, A-Zone",2 Story,,0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,24,1,1,,1,104
RES1,R13N,FIA (MOD.),"three or more floors, no basement, Contents, A-Zone",3 Story,,0,0,0,0,7,15,21,22,23,25,27,30,35,40,43,45,48,50,52,54,56,58,60,60,60,60,60,60,60,25,,1,,,105
RES1,R13B,FIA (MOD.),"three or more floors, w/ basement, Contents, A-Zone",3 Story,,0,5,7,8,15,22,27,28,29,30,32,35,39,43,46,47,50,52,53,55,57,58,60,60,60,60,60,60,60,26,1,1,,1,106
RES1,R1SN,FIA,"split level, no basement, Contents, A-Zone",Split Level,,0,0,0,0,8,11,19,23,28,33,39,44,50,54,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,27,,1,,,107
RES1,R1SB,FIA (MOD.),"split level, w/ basement, Contents, A-Zone",Split Level,,0,5,7,8,16,18,25,29,33,37,42,46,52,55,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,28,1,1,,1,108
RES2,R21N,FIA,"Mobile Home, Contents, A-Zone",1 Story,,0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,74,,1,,,109
RES2,R21B,FIA,"Mobile Home, Contents, A-Zone",1 Story,,0,0,0,0,3,27,49,64,70,76,78,79,81,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,74,1,1,,1,110
RES3A,R3A1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,,,211
RES3A,R3A1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,212
RES3A,R3A3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,213
RES3A,R3A3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,214
RES3A,R3A5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,215
RES3A,R3A5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,216
RES3B,R3B1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,,,217
RES3B,R3B1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,218
RES3B,R3B3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,219
RES3B,R3B3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,220
RES3B,R3B5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,221
RES3B,R3B5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,222
RES3C,R3C1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,223
RES3C,R3C1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,224
RES3C,R3C3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,225
RES3C,R3C3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,226
RES3C,R3C5N,USACE - Chicago,"Apartment Unit Grade, Contents",5Plus Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,227
RES3C,R3C5B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",5Plus Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,228
RES3D,R3D1N,USACE - Chicago,"Apartment Unit Grade, Contents",1to2 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,229
RES3D,R3D1B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",1to2 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,230
RES3D,R3D3N,USACE - Chicago,"Apartment Unit Grade, Contents",3to4 Stories,,0,0,0,0,12,24,33,35,37,41,45,50,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,81,,1,1,1,231
RES3D,R3D3B,USACE - Chicago,"Apartment Unit Sub-Grade, Contents",3to4 Stories,,0,6,7,8,15,19,22,28,33,39,43,49,54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,82,1,1,1,1,232
