Occupancy,SpecificOccupId,Source,Description,Stories,Comment,m4,m3,m2,m1,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,DDF_ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
COM1,C1LN,USACE - Galveston,"Average Retail Trade, Inventory",Low Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,,1,1,1,355
COM1,C1LB,USACE - Galveston,"Average Retail Trade, Inventory",Low Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,1,1,1,1,356
COM1,C1MN,USACE - Galveston,"Average Retail Trade, Inventory",Mid Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,,1,1,1,357
COM1,C1MB,USACE - Galveston,"Average Retail Trade, Inventory",Mid Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,1,1,1,1,358
COM1,C1HN,USACE - Galveston,"Average Retail Trade, Inventory",High Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,,1,1,1,359
COM1,C1HB,USACE - Galveston,"Average Retail Trade, Inventory",High Rise,,0,0,0,0,4,31,49,65,76,85,90,92,93,94,95,95,96,97,97,97,98,98,98,98,98,98,98,98,98,1,1,1,1,1,360
COM2,C2LN,USACE - Galveston,"Average Wholesale Trade, Inventory",Low Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,,1,1,1,361
COM2,C2LB,USACE - Galveston,"Average Wholesale Trade, Inventory",Low Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,1,1,1,1,362
COM2,C2MN,USACE - Galveston,"Average Wholesale Trade, Inventory",Mid Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,,1,1,1,363
COM2,C2MB,USACE - Galveston,"Average Wholesale Trade, Inventory",Mid Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,1,1,1,1,364
COM2,C2HN,USACE - Galveston,"Average Wholesale Trade, Inventory",High Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,,1,1,1,365
COM2,C2HB,USACE - Galveston,"Average Wholesale Trade, Inventory",High Rise,,0,0,0,0,4,19,33,44,54,63,69,76,79,82,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,46,1,1,1,1,366
