SOccupId,Occupancy,NumStories,Basement,SortOrder
A1HB ,AGR1 ,High Rise,1,456
A1HN ,AGR1 ,High Rise,0,455
A1LB ,AGR1 ,Low Rise,1,452
A1LN ,AGR1 ,Low Rise,0,451
A1MB ,AGR1 ,Mid Rise,1,454
A1MN ,AGR1 ,Mid Rise,0,453
C10HB,COM10,High Rise,1,414
C10HN,COM10,High Rise,0,413
C10LB,COM10,Low Rise,1,410
C10LN,COM10,Low Rise,0,409
C10MB,COM10,Mid Rise,1,412
C10MN,COM10,Mid Rise,0,411
C1HB ,COM1 ,High Rise,1,360
C1HN ,COM1 ,High Rise,0,359
C1LB ,COM1 ,Low Rise,1,356
C1LN ,COM1 ,Low Rise,0,355
C1MB ,COM1 ,Mid Rise,1,358
C1MN ,COM1 ,Mid Rise,0,357
C2HB ,COM2 ,High Rise,1,366
C2HN ,COM2 ,High Rise,0,365
C2LB ,COM2 ,Low Rise,1,362
C2LN ,COM2 ,Low Rise,0,361
C2MB ,COM2 ,Mid Rise,1,364
C2MN ,COM2 ,Mid Rise,0,363
C3HB ,COM3 ,High Rise,1,372
C3HN ,COM3 ,High Rise,0,371
C3LB ,COM3 ,Low Rise,1,368
C3LN ,COM3 ,Low Rise,0,367
C3MB ,COM3 ,Mid Rise,1,370
C3MN ,COM3 ,Mid Rise,0,369
C4HB ,COM4 ,High Rise,1,378
C4HN ,COM4 ,High Rise,0,377
C4LB ,COM4 ,Low Rise,1,374
C4LN ,COM4 ,Low Rise,0,373
C4MB ,COM4 ,Mid Rise,1,376
C4MN ,COM4 ,Mid Rise,0,375
C5HB ,COM5 ,High Rise,1,384
C5HN ,COM5 ,High Rise,0,383
C5LB ,COM5 ,Low Rise,1,380
C5LN ,COM5 ,Low Rise,0,379
C5MB ,COM5 ,Mid Rise,1,382
C5MN ,COM5 ,Mid Rise,0,381
C6HB ,COM6 ,High Rise,1,390
C6HN ,COM6 ,High Rise,0,389
C6LB ,COM6 ,Low Rise,1,386
C6LN ,COM6 ,Low Rise,0,385
C6MB ,COM6 ,Mid Rise,1,388
C6MN ,COM6 ,Mid Rise,0,387
C7HB ,COM7 ,High Rise,1,396
C7HN ,COM7 ,High Rise,0,395
C7LB ,COM7 ,Low Rise,1,392
C7LN ,COM7 ,Low Rise,0,391
C7MB ,COM7 ,Mid Rise,1,394
C7MN ,COM7 ,Mid Rise,0,393
C8HB ,COM8 ,High Rise,1,402
C8HN ,COM8 ,High Rise,0,401
C8LB ,COM8 ,Low Rise,1,398
C8LN ,COM8 ,Low Rise,0,397
C8MB ,COM8 ,Mid Rise,1,400
C8MN ,COM8 ,Mid Rise,0,399
C9HB ,COM9 ,High Rise,1,408
C9HN ,COM9 ,High Rise,0,407
C9LB ,COM9 ,Low Rise,1,404
C9LN ,COM9 ,Low Rise,0,403
C9MB ,COM9 ,Mid Rise,1,406
C9MN ,COM9 ,Mid Rise,0,405
E1HB ,EDU1 ,High Rise,1,480
E1HN ,EDU1 ,High Rise,0,479
E1LB ,EDU1 ,Low Rise,1,476
E1LN ,EDU1 ,Low Rise,0,475
E1MB ,EDU1 ,Mid Rise,1,478
E1MN ,EDU1 ,Mid Rise,0,477
E2HB ,EDU2 ,High Rise,1,486
E2HN ,EDU2 ,High Rise,0,485
E2LB ,EDU2 ,Low Rise,1,482
E2LN ,EDU2 ,Low Rise,0,481
E2MB ,EDU2 ,Mid Rise,1,484
E2MN ,EDU2 ,Mid Rise,0,483
G1HB ,GOV1 ,High Rise,1,468
G1HN ,GOV1 ,High Rise,0,467
G1LB ,GOV1 ,Low Rise,1,464
G1LN ,GOV1 ,Low Rise,0,463
G1MB ,GOV1 ,Mid Rise,1,466
G1MN ,GOV1 ,Mid Rise,0,465
G2HB ,GOV2 ,High Rise,1,474
G2HN ,GOV2 ,High Rise,0,473
G2LB ,GOV2 ,Low Rise,1,470
G2LN ,GOV2 ,Low Rise,0,469
G2MB ,GOV2 ,Mid Rise,1,472
G2MN ,GOV2 ,Mid Rise,0,471
I1HB ,IND1 ,High Rise,1,420
I1HN ,IND1 ,High Rise,0,419
I1LB ,IND1 ,Low Rise,1,416
I1LN ,IND1 ,Low Rise,0,415
I1MB ,IND1 ,Mid Rise,1,418
I1MN ,IND1 ,Mid Rise,0,417
I2HB ,IND2 ,High Rise,1,426
I2HN ,IND2 ,High Rise,0,425
I2LB ,IND2 ,Low Rise,1,422
I2LN ,IND2 ,Low Rise,0,421
I2MB ,IND2 ,Mid Rise,1,424
I2MN ,IND2 ,Mid Rise,0,423
I3HB ,IND3 ,High Rise,1,432
I3HN ,IND3 ,High Rise,0,431
I3LB ,IND3 ,Low Rise,1,428
I3LN ,IND3 ,Low Rise,0,427
I3MB ,IND3 ,Mid Rise,1,430
I3MN ,IND3 ,Mid Rise,0,429
I4HB ,IND4 ,High Rise,1,438
I4HN ,IND4 ,High Rise,0,437
I4LB ,IND4 ,Low Rise,1,434
I4LN ,IND4 ,Low Rise,0,433
I4MB ,IND4 ,Mid Rise,1,436
I4MN ,IND4 ,Mid Rise,0,435
I5HB ,IND5 ,High Rise,1,444
I5HN ,IND5 ,High Rise,0,443
I5LB ,IND5 ,Low Rise,1,440
I5LN ,IND5 ,Low Rise,0,439
I5MB ,IND5 ,Mid Rise,1,442
I5MN ,IND5 ,Mid Rise,0,441
I6HB ,IND6 ,High Rise,1,450
I6HN ,IND6 ,High Rise,0,449
I6LB ,IND6 ,Low Rise,1,446
I6LN ,IND6 ,Low Rise,0,445
I6MB ,IND6 ,Mid Rise,1,448
I6MN ,IND6 ,Mid Rise,0,447
R4HB ,RES4 ,High Rise,1,342
R4HN ,RES4 ,High Rise,0,341
R4LB ,RES4 ,Low Rise,1,338
R4LN ,RES4 ,Low Rise,0,337
R4MB ,RES4 ,Mid Rise,1,340
R4MN ,RES4 ,Mid Rise,0,339
R5HB ,RES5 ,High Rise,1,348
R5HN ,RES5 ,High Rise,0,347
R5LB ,RES5 ,Low Rise,1,344
R5LN ,RES5 ,Low Rise,0,343
R5MB ,RES5 ,Mid Rise,1,346
R5MN ,RES5 ,Mid Rise,0,345
R6HB ,RES6 ,High Rise,1,354
R6HN ,RES6 ,High Rise,0,353
R6LB ,RES6 ,Low Rise,1,350
R6LN ,RES6 ,Low Rise,0,349
R6MB ,RES6 ,Mid Rise,1,352
R6MN ,RES6 ,Mid Rise,0,351
RE1HB,REL1 ,High Rise,1,462
RE1HN,REL1 ,High Rise,0,461
RE1LB,REL1 ,Low Rise,1,458
RE1LN,REL1 ,Low Rise,0,457
RE1MB,REL1 ,Mid Rise,1,460
RE1MN,REL1 ,Mid Rise,0,459
