SOccupId,Occupancy,NumStories,Basement,SortOrder
R3A1B,RES3A,1to2 Stories,1,212
R3A1N,RES3A,1to2 Stories,0,211
R3A3B,RES3A,3to4 Stories,1,214
R3A3N,RES3A,3to4 Stories,0,213
R3A5B,RES3A,5Plus Stories,1,216
R3A5N,RES3A,5Plus Stories,0,215
R3B1B,RES3B,1to2 Stories,1,218
R3B1N,RES3B,1to2 Stories,0,217
R3B3B,RES3B,3to4 Stories,1,220
R3B3N,RES3B,3to4 Stories,0,219
R3B5B,RES3B,5Plus Stories,1,222
R3B5N,RES3B,5Plus Stories,0,221
R3C1B,RES3C,1to2 Stories,1,224
R3C1N,RES3C,1to2 Stories,0,223
R3C3B,RES3C,3to4 Stories,1,226
R3C3N,RES3C,3to4 Stories,0,225
R3C5B,RES3C,5Plus Stories,1,228
R3C5N,RES3C,5Plus Stories,0,227
R3D1B,RES3D,1to2 Stories,1,230
R3D1N,RES3D,1to2 Stories,0,229
R3D3B,RES3D,3to4 Stories,1,232
R3D3N,RES3D,3to4 Stories,0,231
R3D5B,RES3D,5Plus Stories,1,234
R3D5N,RES3D,5Plus Stories,0,233
R3E1B,RES3E,1to2 Stories,1,236
R3E1N,RES3E,1to2 Stories,0,235
R3E3B,RES3E,3to4 Stories,1,238
R3E3N,RES3E,3to4 Stories,0,237
R3E5B,RES3E,5Plus Stories,1,240
R3E5N,RES3E,5Plus Stories,0,239
R3F1B,RES3F,1to2 Stories,1,242
R3F1N,RES3F,1to2 Stories,0,241
R3F3B,RES3F,3to4 Stories,1,244
R3F3N,RES3F,3to4 Stories,0,243
R3F5B,RES3F,5Plus Stories,1,246
R3F5N,RES3F,5Plus Stories,0,245
