SOccupId,Occupancy,NumStories,NumStoriesInt,Basement,SortOrder
R11B ,RES1 ,1 Story,1,1,102
R11N ,RES1 ,1 Story,1,0,101
R12B ,RES1 ,2 Story,2,1,104
R12N ,RES1 ,2 Story,2,0,103
R13B ,RES1 ,3 Story,>2,1,106
R13N ,RES1 ,3 Story,>2,0,105
R1SB ,RES1 ,Split Level,99,1,108
R1SN ,RES1 ,Split Level,99,0,107
R21B ,RES2 ,1 Story,any,1,110
R21N ,RES2 ,1 Story,any,0,109
R3A1B,RES3A,1to2 Stories,<3,1,212
R3A1N,RES3A,1to2 Stories,<3,0,211
R3A3B,RES3A,3to4 Stories,3-4,1,214
R3A3N,RES3A,3to4 Stories,3-4,0,213
R3A5B,RES3A,5Plus Stories,>4,1,216
R3A5N,RES3A,5Plus Stories,>4,0,215
R3B1B,RES3B,1to2 Stories,<3,1,218
R3B1N,RES3B,1to2 Stories,<3,0,217
R3B3B,RES3B,3to4 Stories,3-4,1,220
R3B3N,RES3B,3to4 Stories,3-4,0,219
R3B5B,RES3B,5Plus Stories,>4,1,222
R3B5N,RES3B,5Plus Stories,>4,0,221
R3C1B,RES3C,1to2 Stories,<3,1,224
R3C1N,RES3C,1to2 Stories,<3,0,223
R3C3B,RES3C,3to4 Stories,3-4,1,226
R3C3N,RES3C,3to4 Stories,3-4,0,225
R3C5B,RES3C,5Plus Stories,>4,1,228
R3C5N,RES3C,5Plus Stories,>4,0,227
R3D1B,RES3D,1to2 Stories,<3,1,230
R3D1N,RES3D,1to2 Stories,<3,0,229
R3D3B,RES3D,3to4 Stories,3-4,1,232
R3D3N,RES3D,3to4 Stories,3-4,0,231
R3D5B,RES3D,5Plus Stories,>4,1,234
R3D5N,RES3D,5Plus Stories,>4,0,233
R3E1B,RES3E,1to2 Stories,<3,1,236
R3E1N,RES3E,1to2 Stories,<3,0,235
R3E3B,RES3E,3to4 Stories,3-4,1,238
R3E3N,RES3E,3to4 Stories,3-4,0,237
R3E5B,RES3E,5Plus Stories,>4,1,240
R3E5N,RES3E,5Plus Stories,>4,0,239
R3F1B,RES3F,1to2 Stories,<3,1,242
R3F1N,RES3F,1to2 Stories,<3,0,241
R3F3B,RES3F,3to4 Stories,3-4,1,244
R3F3N,RES3F,3to4 Stories,3-4,0,243
R3F5B,RES3F,5Plus Stories,>4,1,246
R3F5N,RES3F,5Plus Stories,>4,0,245
A1HB ,AGR1 ,High Rise,>7,1,456
A1HN ,AGR1 ,High Rise,>7,0,455
A1LB ,AGR1 ,Low Rise,<4,1,452
