SOccupId,ContDmgFnId,DefaultFn,Selected,Editable,HazardR,HazardCA,HazardCV
A1HB ,460,1,0,0,1,1,1
A1HN ,460,1,0,0,1,1,1
A1LB ,460,1,0,0,1,1,1
A1LN ,460,1,0,0,1,1,1
A1MB ,460,1,0,0,1,1,1
A1MN ,460,1,0,0,1,1,1
C10HB,357,1,0,0,1,1,1
C10HN,357,1,0,0,1,1,1
C10LB,357,1,0,0,1,1,1
C10LN,357,1,0,0,1,1,1
C10MB,357,1,0,0,1,1,1
C10MN,357,1,0,0,1,1,1
C1HB ,90,1,0,0,1,1,1
C1HN ,90,1,0,0,1,1,1
C1LB ,90,1,0,0,1,1,1
C1LN ,90,1,0,0,1,1,1
C1MB ,90,1,0,0,1,1,1
C1MN ,90,1,0,0,1,1,1
C2HB ,195,1,0,0,1,1,1
C2HN ,195,1,0,0,1,1,1
C2LB ,195,1,0,0,1,1,1
C2LN ,195,1,0,0,1,1,1
C2MB ,195,1,0,0,1,1,1
C2MN ,195,1,0,0,1,1,1
C3HB ,240,1,0,0,1,1,1
C3HN ,240,1,0,0,1,1,1
C3LB ,240,1,0,0,1,1,1
C3LN ,240,1,0,0,1,1,1
C3MB ,240,1,0,0,1,1,1
C3MN ,240,1,0,0,1,1,1
C4HB ,280,1,0,0,1,1,1
C4HN ,280,1,0,0,1,1,1
C4LB ,280,1,0,0,1,1,1
C4LN ,280,1,0,0,1,1,1
C4MB ,280,1,0,0,1,1,1
C4MN ,280,1,0,0,1,1,1
C5HB ,304,1,0,0,1,1,1
C5HN ,304,1,0,0,1,1,1
C5LB ,304,1,0,0,1,1,1
C5LN ,304,1,0,0,1,1,1
C5MB ,304,1,0,0,1,1,1
C5MN ,304,1,0,0,1,1,1
C6HB ,309,1,0,0,1,1,1
C6HN ,309,1,0,0,1,1,1
C6LB ,309,1,0,0,1,1,1
C6LN ,309,1,0,0,1,1,1
C6MB ,309,1,0,0,1,1,1
C6MN ,309,1,0,0,1,1,1
C7HB ,312,1,0,0,1,1,1
C7HN ,312,1,0,0,1,1,1
C7LB ,312,1,0,0,1,1,1
C7LN ,312,1,0,0,1,1,1
C7MB ,312,1,0,0,1,1,1
C7MN ,312,1,0,0,1,1,1
C8HB ,322,1,0,0,1,1,1
C8HN ,322,1,0,0,1,1,1
C8LB ,322,1,0,0,1,1,1
C8LN ,322,1,0,0,1,1,1
C8MB ,322,1,0,0,1,1,1
C8MN ,322,1,0,0,1,1,1
C9HB ,352,1,0,0,1,1,1
C9HN ,352,1,0,0,1,1,1
C9LB ,352,1,0,0,1,1,1
C9LN ,352,1,0,0,1,1,1
C9MB ,352,1,0,0,1,1,1
C9MN ,352,1,0,0,1,1,1
E1HB ,480,1,0,0,1,1,1
E1HN ,480,1,0,0,1,1,1
E1LB ,480,1,0,0,1,1,1
E1LN ,480,1,0,0,1,1,1
E1MB ,480,1,0,0,1,1,1
E1MN ,480,1,0,0,1,1,1
E2HB ,485,1,0,0,1,1,1
E2HN ,485,1,0,0,1,1,1
E2LB ,485,1,0,0,1,1,1
E2LN ,485,1,0,0,1,1,1
E2MB ,485,1,0,0,1,1,1
E2MN ,485,1,0,0,1,1,1
G1HB ,472,1,0,0,1,1,1
G1HN ,472,1,0,0,1,1,1
G1LB ,472,1,0,0,1,1,1
G1LN ,472,1,0,0,1,1,1
G1MB ,472,1,0,0,1,1,1
G1MN ,472,1,0,0,1,1,1
G2HB ,477,1,0,0,1,1,1
G2HN ,477,1,0,0,1,1,1
G2LB ,477,1,0,0,1,1,1
G2LN ,477,1,0,0,1,1,1
G2MB ,477,1,0,0,1,1,1
G2MN ,477,1,0,0,1,1,1
I1HB ,358,1,0,0,1,1,1
I1HN ,358,1,0,0,1,1,1
I1LB ,358,1,0,0,1,1,1
I1LN ,358,1,0,0,1,1,1
I1MB ,358,1,0,0,1,1,1
I1MN ,358,1,0,0,1,1,1
I2HB ,384,1,0,0,1,1,1
I2HN ,384,1,0,0,1,1,1
I2LB ,384,1,0,0,1,1,1
I2LN ,384,1,0,0,1,1,1
I2MB ,384,1,0,0,1,1,1
I2MN ,384,1,0,0,1,1,1
I3HB ,408,1,0,0,1,1,1
I3HN ,408,1,0,0,1,1,1
I3LB ,408,1,0,0,1,1,1
I3LN ,408,1,0,0,1,1,1
I3MB ,408,1,0,0,1,1,1
I3MN ,408,1,0,0,1,1,1
I4HB ,433,1,0,0,1,1,1
I4HN ,433,1,0,0,1,1,1
I4LB ,433,1,0,0,1,1,1
I4LN ,433,1,0,0,1,1,1
I4MB ,433,1,0,0,1,1,1
I4MN ,433,1,0,0,1,1,1
I5HB ,442,1,0,0,1,1,1
I5HN ,442,1,0,0,1,1,1
I5LB ,442,1,0,0,1,1,1
I5LN ,442,1,0,0,1,1,1
I5MB ,442,1,0,0,1,1,1
I5MN ,442,1,0,0,1,1,1
I6HB ,443,1,0,0,1,1,1
I6HN ,443,1,0,0,1,1,1
I6LB ,443,1,0,0,1,1,1
I6LN ,443,1,0,0,1,1,1
I6MB ,443,1,0,0,1,1,1
I6MN ,443,1,0,0,1,1,1
R11B ,30,1,0,0,0,1,1
R11B ,535,1,0,0,1,0,0
R11N ,45,1,0,0,1,0,0
R11N ,488,1,0,0,0,1,1
R12B ,24,1,0,0,1,1,0
R12B ,32,1,0,0,0,0,1
R12N ,23,1,0,0,1,0,0
R12N ,488,1,0,0,0,1,1
R13B ,26,1,0,0,1,1,0
R13B ,34,1,0,0,0,0,1
R13N ,25,1,0,0,1,0,0
