Occupancy,RentalCostsPerSqFtPerMonth,RentalCostsPerSqFtPerDay,DisruptionCostsPerSqFt
AGR1,0.79,0.03,0.79
COM1,1.34,0.04,1.26
COM10,0.39,0.01,0
COM2,0.55,0.02,1.1
COM3,1.57,0.05,1.1
COM4,1.57,0.05,1.1
COM5,1.96,0.07,1.1
COM6,1.57,0.05,1.57
COM7,1.57,0.05,1.57
COM8,1.96,0.07,0
COM9,1.96,0.07,0
EDU1,1.18,0.04,1.1
EDU2,1.57,0.05,1.1
GOV1,1.57,0.05,1.1
GOV2,1.57,0.05,1.1
IND1,0.24,0.01,0
IND2,0.31,0.01,1.1
IND3,0.31,0.01,1.1
IND4,0.24,0.01,1.1
IND5,0.39,0.01,1.1
IND6,0.16,0.01,1.1
REL1,1.18,0.04,1.1
RES1,0.79,0.03,0.94
RES2,0.55,0.02,0.94
RES3A,0.71,0.02,0.94
RES3B,0.71,0.02,0.94
RES3C,0.71,0.02,0.94
RES3D,0.71,0.02,0.94
RES3E,0.71,0.02,0.94
RES3F,0.71,0.02,0.94
RES4,2.36,0.08,0.94
RES5,0.47,0.02,0.94
RES6,0.86,0.03,0.94
