DebrisID,Description,Finishes,Structure,Foundation,Comment
RES1NBFT0,RES1 without basement with footing foundation at 0-1' water,4.1,0,0,
RES1NBFT1,RES1 without basement with footing foundation at 1-4' water,4.1,0,0,
RES1NBFT4,RES1 without basement with footing foundation at 4-8' water,6.8,0,0,
RES1NBFT8,RES1 without basement with footing foundation at 8-12' water,6.8,6.5,12,
RES1NBFT12,RES1 without basement with footing foundation at 12'+ water,6.8,6.5,12,
RES1NBSG0,RES1 without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES1NBSG1,RES1 without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES1NBSG4,RES1 without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES1NBSG8,RES1 without basement with slab on grade foundation at 8-12' water,6.8,6.5,25,
RES1NBSG12,RES1 without basement with slab on grade foundation at 12'+ water,6.8,6.5,25,
RES1BSG-8,RES1 with basement at -8 - -4' water,1.9,0,0,
RES1BSG-4,RES1 with basement at -4-0' water,4.7,0,0,
RES1BSG0,RES1 with basement at 0-4' water,8.8,0,0,
RES1BSG4,RES1 with basement at 4-6' water,8.8,0,0,
RES1BSG6,RES1 with basement at 6-8'+ water,10.2,32,25,
RES1BSG8,RES1 with basement at 8'+ water,10.2,32,25,
RES2NBFT0,RES2 without basement with footing foundation at 0-1' water,4.1,0,0,
RES2NBFT1,RES2 without basement with footing foundation at 1-4' water,6.5,10,12,
RES2NBFT4,RES2 without basement with footing foundation at 4-8' water,6.5,10,12,
RES2NBFT8,RES2 without basement with footing foundation at 8-12' water,6.5,10,12,
RES2NBFT12,RES2 without basement with footing foundation at 12+' water,6.5,10,12,
RES2NBSG0,RES2 without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES2NBSG1,RES2 without basement with slab on grade foundation at 1-4' water,6.5,10,25,
RES2NBSG4,RES2 without basement with footing foundation at 4-8' water,6.5,10,25,
RES2NBSG8,RES2 without basement with footing foundation at 8-12' water,6.5,10,25,
RES2NBSG12,RES2 without basement with footing foundation at 12+' water,6.5,10,25,
RES3ANBFT0,RES3A without basement with footing foundation at 0-1' water,4.1,0,0,
RES3ANBFT1,RES3A without basement with footing foundation at 1-4' water,4.1,0,0,
RES3ANBFT4,RES3A without basement with footing foundation at 4-8' water,6.8,0,0,
RES3ANBFT8,RES3A without basement with footing foundation at 8-12'+ water,10.9,6.5,12,
RES3ANBFT12,RES3A without basement with footing foundation at 12'+ water,10.9,6.5,12,
RES3ANBSG0,RES3A without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3ANBSG1,RES3A without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3ANBSG4,RES3A without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3ANBSG8,RES3A without basement with slab on grade foundation at 8-12' water,10.9,6.5,25,
RES3ANBSG12,RES3A without basement with slab on grade foundation at 12'+ water,10.9,6.5,25,
RES3BNBFT0,RES3B without basement with footing foundation at 0-1' water,4.1,0,0,
RES3BNBFT1,RES3B without basement with footing foundation at 1-4' water,4.1,0,0,
RES3BNBFT4,RES3B without basement with footing foundation at 4-8' water,6.8,0,0,
RES3BNBFT8,RES3B without basement with footing foundation at 8-12'+ water,10.9,6.5,12,
RES3BNBFT12,RES3B without basement with footing foundation at 12'+ water,10.9,6.5,12,
RES3BNBSG0,RES3B without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3BNBSG1,RES3B without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3BNBSG4,RES3B without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3BNBSG8,RES3B without basement with slab on grade foundation at 8-12' water,10.9,6.5,25,
RES3BNBSG12,RES3B without basement with slab on grade foundation at 12'+ water,10.9,6.5,25,
RES3CNBFT0,RES3C without basement with footing foundation at 0-1' water,4.1,0,0,
RES3CNBFT1,RES3C without basement with footing foundation at 1-4' water,4.1,0,0,
RES3CNBFT4,RES3C without basement with footing foundation at 4-8' water,6.8,0,0,
RES3CNBFT8,RES3C without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES3CNBFT12,RES3C without basement with footing foundation at 12'+ water,13.6,6.5,13.8,
RES3CNBSG0,RES3C without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3CNBSG1,RES3C without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3CNBSG4,RES3C without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3CNBSG8,RES3C without basement with slab on grade foundation at 8-12' water,10.9,0,0,
RES3CNBSG12,RES3C without basement with slab on grade foundation at 12'+ water,13.6,6.5,25,
RES3DNBFT0,RES3D without basement with footing foundation at 0-1' water,4.1,0,0,
RES3DNBFT1,RES3D without basement with footing foundation at 1-4' water,4.1,0,0,
RES3DNBFT4,RES3D without basement with footing foundation at 4-8' water,6.8,0,0,
RES3DNBFT8,RES3D without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES3DNBFT12,RES3D without basement with footing foundation at 12'+ water,13.6,6.5,13.8,
RES3DNBSG0,RES3D without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3DNBSG1,RES3D without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3DNBSG4,RES3D without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3DNBSG8,RES3D without basement with slab on grade foundation at 8-12' water,10.9,0,0,
RES3DNBSG12,RES3D without basement with slab on grade foundation at 12'+ water,13.6,6.5,25,
RES3ENBFT0,RES3E without basement with footing foundation at 0-1' water,4.1,0,0,
RES3ENBFT1,RES3E without basement with footing foundation at 1-4' water,4.1,0,0,
RES3ENBFT4,RES3E without basement with footing foundation at 4-8' water,6.8,0,0,
RES3ENBFT8,RES3E without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES3ENBFT12,RES3E without basement with footing foundation at 12'+ water,13.6,47.8,19,
RES3ENBSG0,RES3E without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3ENBSG1,RES3E without basement with slab on grade foundation at 1-4' water,4.1,0,0,
RES3ENBSG4,RES3E without basement with slab on grade foundation at 4-8' water,6.8,0,0,
RES3ENBSG8,RES3E without basement with slab on grade foundation at 8-12' water,10.9,0,0,
RES3ENBSG12,RES3E without basement with slab on grade foundation at 12'+ water,13.6,47.8,25,
RES3FNBFT0,RES3F without basement with footing foundation at 0-1' water,4.1,0,0,
RES3FNBFT1,RES3F without basement with footing foundation at 1-4' water,4.1,0,0,
RES3FNBFT4,RES3F without basement with footing foundation at 4-8' water,6.8,0,0,
RES3FNBFT8,RES3F without basement with footing foundation at 8-12'+ water,10.9,0,0,
RES3FNBFT12,RES3F without basement with footing foundation at 12'+ water,13.6,47.8,19,
RES3FNBSG0,RES3F without basement with slab on grade foundation at 0-1' water,4.1,0,0,
RES3FNBSG1,RES3F without basement with slab on grade foundation at 1-4' water,4.1,0,0,
