Occupancy,Min_Depth,Max_Depth,RestFnID,Min_Restor_Days,Max_Restor_Days
AGR1,-4,0,AGR10,0,0
AGR1,0,1,AGR11,30,210
AGR1,1,4,AGR14,30,210
AGR1,4,8,AGR18,30,210
AGR1,8,12,AGR112,30,210
AGR1,12,24,AGR124,30,210
COM1,-4,0,COM10,0,180
COM1,0,1,COM11,360,540
COM1,1,4,COM14,360,540
COM1,4,8,COM18,450,630
COM1,8,12,COM112,540,720
COM1,12,24,COM124,720,900
COM10,-4,0,COM100,0,0
COM10,0,1,COM101,0,30
COM10,1,4,COM104,0,30
COM10,4,8,COM108,0,30
COM10,8,12,COM1012,0,30
COM10,12,24,COM1024,0,30
COM2,-4,0,COM20,0,180
COM2,0,1,COM21,0,540
COM2,1,4,COM24,360,540
COM2,4,8,COM28,450,630
COM2,8,12,COM212,540,720
COM2,12,24,COM224,720,900
COM3,-4,0,COM30,0,180
COM3,0,1,COM31,180,360
COM3,1,4,COM34,180,360
COM3,4,8,COM38,270,450
COM3,8,12,COM312,360,720
COM3,12,24,COM324,360,720
COM4,-4,0,COM40,0,360
COM4,0,1,COM41,300,480
COM4,1,4,COM44,300,480
COM4,4,8,COM48,450,630
COM4,8,12,COM412,540,720
COM4,12,24,COM424,720,900
COM5,-4,0,COM50,0,360
COM5,0,1,COM51,300,480
COM5,1,4,COM54,300,480
COM5,4,8,COM58,450,630
COM5,8,12,COM512,540,720
COM5,12,24,COM524,720,900
COM6,-4,0,COM60,0,360
COM6,0,1,COM61,360,540
COM6,1,4,COM64,360,540
COM6,4,8,COM68,540,720
COM6,8,12,COM612,720,900
COM6,12,24,COM624,720,900
COM7,-4,0,COM70,0,360
COM7,0,1,COM71,300,480
COM7,1,4,COM74,300,480
COM7,4,8,COM78,450,630
COM7,8,12,COM712,540,720
COM7,12,24,COM724,720,900
COM8,-4,0,COM80,0,180
COM8,0,1,COM81,360,540
COM8,1,4,COM84,360,540
COM8,4,8,COM88,450,630
COM8,8,12,COM812,540,720
COM8,12,24,COM824,720,900
COM9,-4,0,COM90,0,180
COM9,0,1,COM91,360,540
COM9,1,4,COM94,360,540
COM9,4,8,COM98,450,630
COM9,8,12,COM912,540,720
COM9,12,24,COM924,720,900
EDU1,-4,0,EDU10,0,360
EDU1,0,1,EDU11,300,480
EDU1,1,4,EDU14,300,480
EDU1,4,8,EDU18,450,630
EDU1,8,12,EDU112,540,720
EDU1,12,24,EDU124,720,900
EDU2,-4,0,EDU20,0,360
EDU2,0,1,EDU21,300,480
EDU2,1,4,EDU24,300,480
EDU2,4,8,EDU28,450,630
EDU2,8,12,EDU212,540,720
EDU2,12,24,EDU224,720,900
GOV1,-4,0,GOV10,0,360
GOV1,0,1,GOV11,300,480
GOV1,1,4,GOV14,300,480
GOV1,4,8,GOV18,450,630
GOV1,8,12,GOV112,540,720
GOV1,12,24,GOV124,720,900
GOV2,-4,0,GOV20,0,360
GOV2,0,1,GOV21,300,480
GOV2,1,4,GOV24,300,480
GOV2,4,8,GOV28,450,630
GOV2,8,12,GOV212,540,720
GOV2,12,24,GOV224,720,900
IND1,-4,0,IND10,0,0
IND1,0,1,IND11,30,210
IND1,0,24,IND124,30,210
IND1,1,4,IND14,30,210
IND1,4,8,IND18,30,210
IND1,8,12,IND112,30,210
IND2,-4,0,IND20,0,0
IND2,0,1,IND21,30,150
IND2,0,24,IND224,30,150
IND2,1,4,IND24,30,150
IND2,4,8,IND28,30,150
IND2,8,12,IND212,30,150
IND3,-4,0,IND30,0,390
IND3,0,1,IND31,300,510
IND3,0,4,IND34,300,510
IND3,4,8,IND38,450,660
IND3,8,12,IND312,540,750
IND3,12,24,IND324,720,900
IND4,-4,0,IND40,0,420
IND4,0,1,IND41,300,540
IND4,1,4,IND44,300,540
IND4,4,8,IND48,450,690
IND4,8,12,IND412,540,780
IND4,12,24,IND424,720,900
IND5,-4,0,IND50,0,240
IND5,0,1,IND51,360,600
IND5,1,4,IND54,360,600
IND5,4,8,IND58,450,690
IND5,8,12,IND512,540,780
IND5,12,24,IND524,720,900
IND6,-4,0,IND60,0,0
IND6,0,1,IND61,30,150
IND6,1,4,IND64,30,150
IND6,4,8,IND68,30,150
IND6,8,12,IND612,30,150
IND6,12,24,IND624,30,150
REL1,-4,0,REL10,0,180
REL1,0,1,REL11,360,540
REL1,1,4,REL14,360,540
REL1,4,8,REL18,450,630
REL1,8,12,REL112,540,720
REL1,12,24,REL124,720,900
RES1,-4,0,RES10,0,180
