FltyId,Longitude,Latitude,Area,Occ,NumStories,FoundationType,FirstFloorHt,FOUND_TYPE,Cost,ContentCost,GooglePlus
0,-101.301224,48.271056,1113,RES2,1,7,3.045,SLAB ON GRADE,12000,6000,85WW6MCH+78
1,-101.3008138,48.27121326,632,RES2,1,7,2.97,SLAB ON GRADE,37500,18750,85WW6PHJ+X3
2,-101.301249,48.27124451,855,RES2,1,7,2.89,SLAB ON GRADE,37500,18750,85WW6PJJ+59
3,-101.3013171,48.269862,1161,RES2,1,7,3,SLAB ON GRADE,12000,6000,85WW6MCG+HX
4,-101.3004845,48.269643,1019,RES2,1,7,3.015,SLAB ON GRADE,37500,18750,85WW6PHJ+P6
5,-101.300482,48.269263,1467,RES2,1,7,2.815,SLAB ON GRADE,14245,7123,85WW6M7J+9Q
6,-101.3000623,48.2702395,958,RES2,1,7,2.705,SLAB ON GRADE,12000,6000,85WW6MCH+8J
7,-101.301226,48.2705065,1629,RES2,1,7,2.925,SLAB ON GRADE,14245,7123,85WW6M7J+4C
8,-101.3012662,48.26911601,1270,RES2,1,7,4.03,SLAB ON GRADE,12000,6000,85WW6MCH+6Q
9,-101.3000856,48.2694945,513,RES2,1,7,2.905,SLAB ON GRADE,37500,18750,85WW6PJJ+76
10,-101.3008145,48.271104,330,RES2,1,7,3.015,SLAB ON GRADE,37500,18750,85WW6PJJ+29
11,-101.299999,48.268354,3119,RES3E,1,7,1.295,SLAB ON GRADE,1866500,933250,85WW7M9X+8X
12,-101.3012557,48.2692925,1387,RES2,1,7,2.86,SLAB ON GRADE,12000,6000,85WW6MCH+72
13,-101.300798,48.269312,973,RES2,1,7,4.185,SLAB ON GRADE,12000,6000,85WW6MCH+GM
14,-101.3000749,48.2705305,328,RES2,1,7,2.985,SLAB ON GRADE,37500,18750,85WW6PJJ+89
15,-101.3012468,48.27115151,1149,RES2,1,7,2.985,SLAB ON GRADE,12000,6000,85WW6MCH+55
16,-101.3012582,48.2708845,1345,RES2,1,7,2.84,SLAB ON GRADE,14245,7123,85WW6M7J+88
17,-101.3000919,48.26995375,1055,RES2,1,7,2.72,SLAB ON GRADE,12000,6000,85WW6MCH+8J
18,-101.2969225,48.2738555,2020,COM4,1,7,1.095,SLAB ON GRADE,90000,45000,85WW7M7X+Q5
19,-101.300502,48.2706095,1137,RES2,1,7,2.94,SLAB ON GRADE,37500,18750,85WW6PJJ+3P
20,-101.3007915,48.269692,1199,RES2,1,7,2.955,SLAB ON GRADE,12000,6000,85WW6MCG+FR
21,-101.300817,48.2691235,1545,RES2,1,7,2.97,SLAB ON GRADE,12000,6000,85WW6MCH+F3
22,-101.2989322,48.2680642,3732,COM4,1,7,4.405,SLAB ON GRADE,145500,72750,85WW6MWF+J5
23,-101.299999,48.2682665,2996,RES3E,1,7,1.2,SLAB ON GRADE,1866500,933250,85WW7M9X+8X
24,-101.2944841,48.27291012,2399,IND4,1,7,1.605,SLAB ON GRADE,91000,45500,85WW6P94+GG
25,-101.3000914,48.26793819,8926,RES3E,1,7,1.235,SLAB ON GRADE,1866500,933250,85WW7M9X+5X
26,-101.3000871,48.27128723,1903,RES2,1,7,2.89,SLAB ON GRADE,14245,7123,85WW6M7J+5G
27,-101.3015215,48.26834978,4000,COM4,1,7,4.345,SLAB ON GRADE,138500,69250,85WW6MXF+2M
28,-101.3000884,48.26865256,6207,RES3E,1,7,1.14,SLAB ON GRADE,1866500,933250,85WW7M9X+FX
29,-101.3000862,48.2703395,1337,RES2,1,7,2.655,SLAB ON GRADE,37500,18750,85WW6MFH+VM
30,-101.300817,48.269405,1312,RES2,1,7,3.285,SLAB ON GRADE,12000,6000,85WW6MCH+74
31,-101.2967885,48.2740015,2571,RES1,1,7,3.925,SLAB ON GRADE,151000,75500,85WW6MFR+2J
32,-101.300121,48.2691045,1095,RES2,1,7,3,SLAB ON GRADE,37500,18750,85WW6QG5+4G
33,-101.296963,48.27360386,2154,COM4,1,7,2.625,SLAB ON GRADE,112500,56250,85WW7M3V+JP
34,-101.2969629,48.2737173,1543,COM4,1,7,1.065,SLAB ON GRADE,94500,47250,85WW7M4Q+76
35,-101.3063584,48.26922027,1002,RES1,1,5,1.595,CRAWL SPACE,60500,30250,85WW6PPM+22
36,-101.3007955,48.270507,1319,RES2,1,7,3.06,SLAB ON GRADE,37500,18750,85WW6PHJ+P5
37,-101.297366,48.27405474,1926,RES1,1,7,1.39,SLAB ON GRADE,81000,40500,85WW6MFW+HM
38,-101.300467,48.269448,1217,RES2,1,7,3.285,SLAB ON GRADE,12000,6000,85WW6MCH+CV
39,-101.3014245,48.27143703,2601,COM4,1,7,1.08,SLAB ON GRADE,82000,41000,85WW6MVG+H2
40,-101.3012824,48.27143701,816,RES2,1,7,2.815,SLAB ON GRADE,37500,18750,85WW6PJJ+59
41,-101.299991,48.2675195,3105,RES3E,1,7,1.22,SLAB ON GRADE,1866500,933250,85WW7P92+22
42,-101.3004995,48.2702755,903,RES2,1,7,2.845,SLAB ON GRADE,37500,18750,85WW6PHH+RH
43,-101.3000789,48.2710065,1449,RES2,1,7,2.875,SLAB ON GRADE,12000,6000,85WW6MCG+8R
44,-101.299991,48.267604,3147,RES3E,1,7,1.14,SLAB ON GRADE,1866500,933250,85WW7P92+22
45,-101.30051,48.2691625,1167,RES2,1,7,3.17,SLAB ON GRADE,12000,6000,85WW6MCH+5J
46,-101.300081,48.2710955,900,RES2,1,7,2.855,SLAB ON GRADE,37500,18750,85WW6PJJ+2V
47,-101.3000775,48.2709105,755,RES2,1,7,2.91,SLAB ON GRADE,37500,18750,85WW6PJH+6Q
48,-101.305908,48.269196,826,RES1,1,5,1.425,CRAWL SPACE,60500,30250,85WW6MCX+4J
49,-101.3008047,48.27060318,1667,RES2,1,7,3.295,SLAB ON GRADE,12000,6000,85WW6MCH+22
50,-101.3004995,48.2710385,845,RES2,1,7,2.94,SLAB ON GRADE,37500,18750,85WW6PHH+RX
51,-101.2933725,48.2726895,2086,COM2,1,7,1.16,SLAB ON GRADE,92000,46000,85WW7M7R+VM
52,-101.3012529,48.2706035,578,RES2,1,7,2.86,SLAB ON GRADE,37500,18750,85WW6PJJ+6M
53,-101.3000924,48.2696805,776,RES2,1,7,2.815,SLAB ON GRADE,37500,18750,85WW6PHH+PR
54,-101.301257,48.2707885,825,RES2,1,7,2.875,SLAB ON GRADE,8166,4083,85WW7M9X+JW
55,-101.300797,48.271399,1738,RES2,1,7,2.97,SLAB ON GRADE,37500,18750,85WW6PHJ+R5
56,-101.3013265,48.2702285,1179,RES2,1,7,3.69,SLAB ON GRADE,12000,6000,85WW6MCH+29
57,-101.3007677,48.27042257,2913,RES2,1,7,2.72,SLAB ON GRADE,37500,18750,85WW6MFJ+X8
58,-101.3005085,48.2707115,1024,RES2,1,7,2.845,SLAB ON GRADE,37500,18750,85WW6PJH+7H
59,-101.2981632,48.26940732,3667,COM2,1,7,4.295,SLAB ON GRADE,179500,89750,85WW6MXC+37
60,-101.298175,48.26967107,3020,COM4,1,7,4.28,SLAB ON GRADE,146500,73250,85WW6MWF+JV
61,-101.3004925,48.2704605,502,RES2,1,7,2.845,SLAB ON GRADE,37500,18750,85WW6PJH+2W
62,-101.3000935,48.26939059,1178,RES2,1,7,2.92,SLAB ON GRADE,12000,6000,85WW6MCH+PM
63,-101.3018845,48.2707615,2411,COM4,1,7,1.28,SLAB ON GRADE,90500,45250,85WW7M5V+79
64,-101.300091,48.2695865,1306,RES2,1,7,2.815,SLAB ON GRADE,12000,6000,85WW6MCH+G8
65,-101.3000939,48.27006856,860,RES2,1,7,3,SLAB ON GRADE,37500,18750,85WW6PJJ+2M
66,-101.3012559,48.27041506,1323,RES2,1,7,3.485,SLAB ON GRADE,12000,6000,85WW6MCH+25
67,-101.3012555,48.269392,987,RES2,1,7,3.05,SLAB ON GRADE,37500,18750,85WW6PHH+PH
68,-101.3013015,48.2695985,610,RES2,1,7,3,SLAB ON GRADE,37500,18750,85WW6MFH+V9
69,-101.3000953,48.2693005,598,RES2,1,7,3.015,SLAB ON GRADE,37500,18750,85WW6PJJ+46
70,-101.300856,48.2695145,1194,RES2,1,7,2.86,SLAB ON GRADE,12000,6000,85WW6MCG+HW
71,-101.3000777,48.270723,1150,RES2,1,7,2.89,SLAB ON GRADE,37500,18750,85WW6PJJ+56
72,-101.3200399,48.25449552,1929,RES1,1,7,1.175,SLAB ON GRADE,118100,59050,85WW6MPC+2X
73,-101.3059041,48.26238789,1432,RES1,1,7,1.28,SLAB ON GRADE,119400,59700,85WW6MMR+PR
74,-101.307163,48.2626075,834,RES1,1,7,1.56,SLAB ON GRADE,86500,43250,85WW6PF6+28
75,-101.309,48.2638655,2522,RES1,1,7,1.095,SLAB ON GRADE,182500,91250,85WW6MJM+QG
76,-101.309399,48.2638735,1542,RES1,1,7,1.16,SLAB ON GRADE,34000,17000,85WW6PJ3+P2
77,-101.3078055,48.2648145,2048,RES1,1,7,3.58,SLAB ON GRADE,93500,46750,85WW6PX4+5H
78,-101.3083485,48.265139,961,RES1,2,7,1.69,SLAB ON GRADE,127000,63500,85WW6MWV+R6
79,-101.3026583,48.26443955,1486,RES1,1,7,1.03,SLAB ON GRADE,107800,53900,85WW6PQ9+73
80,-101.305857,48.256646,1168,RES1,1,7,1.155,SLAB ON GRADE,79500,39750,85WW6PG6+42
81,-101.3094108,48.25739529,1650,COM4,1,7,4.185,SLAB ON GRADE,88000,44000,85WW7M2G+2H
82,-101.305203,48.2591965,1522,RES1,1,7,0.97,SLAB ON GRADE,64000,32000,85WW6PG7+C8
83,-101.3016991,48.26043648,1310,RES1,1,5,2.41,CRAWL SPACE,58500,29250,85WW6MXQ+3M
84,-101.3234537,48.24838863,1216,RES1,1,7,1.11,SLAB ON GRADE,181300,90650,85WW6PJH+J4
85,-101.3234035,48.249661,862,RES1,1,7,1.08,SLAB ON GRADE,17000,8500,85WW6PPJ+66
86,-101.3346788,48.24353598,784,RES1,1,7,1.235,SLAB ON GRADE,58500,29250,85WW6PC2+4P
87,-101.3265704,48.24218112,1573,RES1,1,4,1.36,BASEMENT,114400,57200,85WW6MQG+9P
88,-101.3214707,48.24302485,2611,RES1,1,4,1.17,BASEMENT,151000,75500,85WW7M78+C9
89,-101.322048,48.243332,3639,RES1,1,4,1.69,BASEMENT,157000,78500,85WW6PPJ+G3
90,-101.31933,48.24345537,3469,RES1,1,4,2.485,BASEMENT,10450,5225,85WW6PVM+4Q
91,-101.31885,48.2436025,1250,RES1,1,4,1.425,BASEMENT,137500,68750,85WW7M29+RX
92,-101.3165923,48.24432557,1250,RES1,1,4,2.455,BASEMENT,139000,69500,85WW7M2C+J7
93,-101.30956,48.2513095,1337,RES1,1,7,1.455,SLAB ON GRADE,91000,45500,85WW6PC2+WJ
94,-101.3148334,48.25264766,766,RES1,1,7,1.515,SLAB ON GRADE,96400,48200,85WW6PMM+G6
95,-101.309472,48.25384957,1157,RES1,2,7,1.39,SLAB ON GRADE,127000,63500,85WW6PV8+M8
96,-101.2951965,48.24701,961,RES3A,1,4,1.53,BASEMENT,114600,57300,85WW6MQW+WJ
97,-101.3070268,48.24349355,1904,RES3A,1,7,0.955,SLAB ON GRADE,28000,14000,85WW7M8W+9R
98,-101.3102275,48.2436615,2178,RES1,1,4,1.595,BASEMENT,142300,71150,85WW6MPG+V3
99,-101.3097538,48.24548588,1322,RES1,1,4,1.465,BASEMENT,117000,58500,85WW6MPG+WM
100,-101.3031353,48.24491843,2806,RES1,1,4,1.485,BASEMENT,145700,72850,85WW6MJJ+9G
101,-101.294022,48.245879,1502,RES1,1,7,1.265,SLAB ON GRADE,39500,19750,85WW6MPR+FR
102,-101.2922235,48.2467925,1001,RES1,1,4,1.56,BASEMENT,127000,63500,85WW6PV7+HX
103,-101.2867985,48.247431,1377,RES1,1,7,1.155,SLAB ON GRADE,114500,57250,85WW6PF2+MR
104,-101.2848275,48.24773,1996,RES1,1,7,1.61,SLAB ON GRADE,109000,54500,85WW6MFX+RV
105,-101.2921238,48.2478909,1249,RES1,1,7,1.72,SLAB ON GRADE,92000,46000,85WW6PC5+4J
106,-101.284167,48.243984,1250,RES1,1,4,1.425,BASEMENT,123500,61750,85WW7M2C+H2
107,-101.2901965,48.244825,1250,RES1,1,4,1.37,BASEMENT,124000,62000,85WW7M29+HV
108,-101.282664,48.2430925,2927,RES1,1,4,1.175,BASEMENT,157000,78500,85WW6PPJ+X8
109,-101.2792765,48.2448345,887,RES1,1,7,1.485,SLAB ON GRADE,60000,30000,85WW6PC5+43
110,-101.3080685,48.262384,3785,RES1,1,7,4.655,SLAB ON GRADE,194500,97250,85WW6MR8+H6
111,-101.3086146,48.26279528,1541,RES1,1,7,1.33,SLAB ON GRADE,94000,47000,85WW6PJ7+93
112,-101.307151,48.263254,2523,RES1,1,7,1.22,SLAB ON GRADE,136800,68400,85WW6MM8+X4
113,-101.3053589,48.26368299,2740,RES1,1,5,1.52,CRAWL SPACE,151500,75750,85WW6MQ7+VQ
114,-101.3007795,48.263718,1640,RES1,1,7,1.31,SLAB ON GRADE,77000,38500,85WW6PG2+V5
115,-101.3101428,48.25508597,2797,RES1,1,7,2.705,SLAB ON GRADE,152500,76250,85WW6MP7+WH
116,-101.3088621,48.25584638,3080,RES1,1,7,4.25,SLAB ON GRADE,180700,90350,85WW6MMM+66
117,-101.2986608,48.25403894,1436,RES1,1,7,1.375,SLAB ON GRADE,114000,57000,85WW6MQG+J3
